Date,Close/Last,Volume,Open,High,Low
11/19/2020,$46.4482,13484470,$46.1957,$46.6876,$45.9976
11/18/2020,$46.129,18279220,$46.5609,$47.2931,$46.0352
11/17/2020,$46.7298,19426020,$46.176,$46.927,$45.9789
11/16/2020,$46.5045,19426600,$46.3731,$46.7017,$46.2323
11/13/2020,$45.9976,17035840,$44.8805,$46.2276,$44.8054
11/12/2020,$45.0401,20021300,$44.7097,$45.1434,$44.3549
11/11/2020,$44.7491,11840200,$44.8524,$45.0307,$44.2328
11/10/2020,$44.843,21103090,$43.3373,$45.0214,$43.1345
11/09/2020,$44.2891,37456780,$44.6834,$45.2748,$43.8573
11/06/2020,$41.8015,14129150,$41.8391,$41.9611,$41.2571
11/05/2020,$41.6325,18897350,$41.8485,$42.0644,$41.5011
11/04/2020,$41.0224,23064110,$41.5574,$41.8766,$40.7408
11/03/2020,$40.0085,20761580,$39.3796,$40.3465,$39.1938
11/02/2020,$38.8633,24480430,$40.1306,$40.2996,$38.455
10/30/2020,$39.6518,22002000,$39.8677,$40.4122,$39.1885
10/29/2020,$40.4216,20354400,$39.5016,$41.013,$39.3233
10/28/2020,$39.4078,20256150,$40.2808,$40.4404,$39.3421
10/27/2020,$40.7783,11134880,$40.9285,$41.1538,$40.7032
10/26/2020,$41.0881,15634590,$41.9705,$42.0737,$40.8816
10/23/2020,$42.299,10529350,$42.6182,$42.759,$41.8672
10/22/2020,$42.346,15957520,$41.7734,$42.4633,$41.6419
10/21/2020,$41.7921,13198950,$41.304,$42.1488,$41.2758
10/20/2020,$41.5574,13137580,$41.8954,$41.9236,$41.426
10/19/2020,$41.6138,17520400,$42.7684,$42.9562,$41.4917
10/16/2020,$42.7684,13361960,$42.4539,$43.0735,$42.1488
10/15/2020,$42.346,12904920,$42.2709,$42.3835,$41.7968
10/14/2020,$42.5056,15326670,$42.9937,$43.1861,$42.2333
10/13/2020,$43.0782,13854740,$43.3035,$43.4725,$42.5994
10/12/2020,$43.1721,19520080,$42.5243,$43.4255,$42.1695
10/09/2020,$42.1019,25103930,$42.5994,$42.8341,$41.9423
10/08/2020,$42.5243,15365990,$42.3272,$42.6088,$42.0831
10/07/2020,$42.2052,17829250,$42.2709,$42.3413,$41.5481
10/06/2020,$41.7827,17911210,$42.5056,$42.7309,$41.6513
10/05/2020,$43.0031,12599400,$42.5243,$43.1157,$42.2615
10/02/2020,$42.3835,18104050,$42.9937,$43.1721,$42.346
10/01/2020,$43.5945,15524360,$43.7128,$43.9043,$43.341
09/30/2020,$43.4255,27897250,$43.6884,$43.8573,$42.9468
09/29/2020,$43.3692,11873970,$43.9794,$43.9981,$43.341
09/28/2020,$43.8949,16208780,$44.0169,$44.1859,$43.4067
09/25/2020,$43.3223,12555980,$42.5713,$43.4912,$42.4492
09/24/2020,$42.8998,14500620,$42.4211,$43.2565,$42.1535
09/23/2020,$42.5807,19671190,$43.3692,$43.5382,$42.4727
09/22/2020,$43.3598,32899320,$42.1864,$43.6273,$42.0925
09/21/2020,$41.9423,32257660,$42.1676,$42.6558,$40.7501
09/18/2020,$42.4868,39626010,$42.6933,$43.0406,$41.5762
09/17/2020,$42.7872,21253660,$43.1251,$43.5851,$42.2615
09/16/2020,$43.9418,26330600,$44.1671,$44.5895,$43.8386
09/15/2020,$43.6133,18415900,$42.3929,$43.8761,$42.2897
09/14/2020,$42.4962,11436100,$42.2615,$42.7027,$41.9705
09/11/2020,$41.9329,18316340,$41.3885,$41.9987,$41.2758
09/10/2020,$41.3228,16023770,$41.9142,$42.2521,$41.1726
09/09/2020,$41.8672,15420890,$41.2946,$42.2333,$41.0318
09/08/2020,$41.1256,20897640,$41.1256,$41.5481,$40.4779
09/04/2020,$41.7076,16201890,$42.1582,$42.2146,$41.2101
09/03/2020,$41.717,18515150,$42.8153,$43.1251,$41.3885
09/02/2020,$42.4023,20421060,$42.2897,$43.1157,$42.2521
09/01/2020,$42.2897,16943170,$41.7123,$42.3272,$41.5293
08/31/2020,$42.0644,24898070,$41.5481,$42.3648,$41.5387
08/28/2020,$41.8297,10975490,$41.8015,$41.8391,$41.2383
08/27/2020,$41.8109,14317600,$41.8297,$42.0503,$41.5293
